"record_id","canonical_id","legacy_id","name","company","state","county","record_revision","structured_road_sequence","trusted_destination_source","trusted_destination_role","destination_latitude","destination_longitude","classification_bucket","last_usable_approved_highway_anchor","anchor_evidence_basis","primary_direction_source","primary_cleaned_road_order","older_sequence_conflict","overlay_status","overlay_reason","overlay_last_highway","ordered_exact_evidence","ordered_exact_section_count","teal_section_count","pr212_read_only_disposition","pr212_read_only_reason","fail_closed_reason","next_gate"
"12da2a9f-c9ae-467f-abf5-723c31daecfe","12da2a9f-c9ae-467f-abf5-723c31daecfe","ascent--albert","ALBERT","Ascent","Ohio","Belmont","1786405417119866","I-70 → Exit 198 → OH-114 → Lease Road","saved_pad_gps","saved pad reference","40.04569","-81.21533","EXCLUDED_OR_INSUFFICIENT","OH-114","Potential anchor OH-114 is recorded only for inspection; explicit owner exclusion or insufficient-source hold takes precedence.","directions_clear","I-70 → Exit 198 → OH-114 → Lease Road","false","PIN_ONLY","candidate_start_lacks_exact_master_last_highway_road_id_anchor","I-70","no","0","0","HELD_IDENTITY","The earliest unresolved cleaned-source blocker is an exact authoritative identity/Road Manager mapping gap.","Explicit owner scope hold: inspectable only; do not publish or revive the old four-pad patch unless this current exact record completes the BLAYNEY-grade gate.","Complete the explicit current-record review gate described in the fail-closed reason; no publication from this board."
"fda8a55c-605d-4fb7-903a-4ec4580e76cd","fda8a55c-605d-4fb7-903a-4ec4580e76cd","ascent--albright","ALBRIGHT","Ascent","Ohio","Belmont","1786258360881449","Cash Ridge Rd → Lease Road","saved_pad_gps","saved pad reference","39.955006","-80.8312","ALIAS_OR_SOURCE_ORDER_AMBIGUITY","OH-147","uncorroborated generic or conflicting alias 'Route 147' normalized provisionally as OH-147","directions_clear","Route 147 E → Wegee Rd (about 1 mile) → Cash Ridge Rd (1.9 miles) → Lease Road","true","PIN_ONLY","no_exact_last_interstate_us_or_state_highway","","no","0","0","HELD_IDENTITY","The earliest unresolved cleaned-source blocker is an exact authoritative identity/Road Manager mapping gap.","Fail closed: uncorroborated generic or conflicting alias 'Route 147' normalized provisionally as OH-147. Runtime remains GPS-only.","Resolve the primary-source alias/order against the exact intended road occurrence without promoting renderer or overlay labels; only then perform waypoint, satellite, and two-direction QA."
"c2923e5d-882b-44fe-be0c-6f3332cbb54b","c2923e5d-882b-44fe-be0c-6f3332cbb54b","ascent--anchor","ANCHOR","Ascent","Ohio","Belmont","1786265812046205","Route 22 → OH-331 → Resivor Rd → Pad","official_pad_reference","official pad reference","40.158007","-81.093945","OTHER_NUMBERED_HIGHWAY_CANDIDATE","OH-331","directions_clear 'Route 331' normalized as OH-331 and corroborated by the current exact sequence and/or main overlay","directions_clear","Route 22 E → Route 331 S → Resivor Rd → Pad","true","PIN_ONLY","no_exact_last_interstate_us_or_state_highway","","no","0","0","HELD_IDENTITY","The earliest unresolved cleaned-source blocker is an exact authoritative identity/Road Manager mapping gap.","Planning candidate only: no reviewed exact-record Google Navigate contract exists on main, so runtime remains GPS-only.","Select 1-3 exact road-occurrence waypoints, confirm the final approach by satellite, prove both highway directions where practical, then add one exact-record contract with tests/accounting."
"63a3497d-70e9-47a0-8500-00e094a5b871","63a3497d-70e9-47a0-8500-00e094a5b871","ascent--antelok","ANTELOK","Ascent","Ohio","Belmont","1787459253071652","I-70 → OH-9 → CR-5 → McFetridge / Dunham Rd → Access Road","saved_pad_gps","saved pad reference","40.043212","-80.900901","CLEAN_DIRECT_I70_CANDIDATE","OH-9","directions_clear primary order begins with I-70 normalized as I-70; last usable approved numbered-highway anchor is OH-9","directions_clear","I-70 → OH-9 S → CR-5 (approximately 1.5 miles) → McFetridge / Dunham Rd → Access Road","true","PIN_ONLY","no_exact_last_interstate_us_or_state_highway","","no","0","0","HELD_IDENTITY","The earliest unresolved cleaned-source blocker is an exact authoritative identity/Road Manager mapping gap.","Planning candidate only: no reviewed exact-record Google Navigate contract exists on main, so runtime remains GPS-only.","Select 1-3 exact road-occurrence waypoints, confirm the final approach by satellite, prove both I-70 directions in Google step detail, then add one exact-record contract with tests/accounting."
"98eec273-b8aa-49b6-b791-2d53b5f256c6","98eec273-b8aa-49b6-b791-2d53b5f256c6","ascent--bedway","BEDWAY","Ascent","Ohio","Belmont","1786258360881449","I-70 → Exit 208 → OH-149 → US-40 → Pancoast Rd","verified_driver_entrance","verified driver entrance","40.072874","-81.021494","CLEAN_DIRECT_I70_CANDIDATE","US-40","directions_clear primary order begins with I-70 normalized as I-70; last usable approved numbered-highway anchor is US-40","directions_clear","I-70 → Exit 208 → OH-149 N (0.5 mile) → US-40 E (1.5 miles) → Pancoast Rd / TR-263 (0.5 mile)","true","ROUTED_DISPLAY","graph_receipt_ordered_prefix_then_solid_neutral_remainder","US-40","yes","1","0","HELD_TRANSITION","Named road evidence exists, but at least one exact traveled junction or occurrence receipt is unresolved.","Planning candidate only: no reviewed exact-record Google Navigate contract exists on main, so runtime remains GPS-only.","Select 1-3 exact road-occurrence waypoints, confirm the final approach by satellite, prove both I-70 directions in Google step detail, then add one exact-record contract with tests/accounting."
"c2c9664b-f853-4ecf-8107-7b5630e69bcf","c2c9664b-f853-4ecf-8107-7b5630e69bcf","ascent--bennington","BENNINGTON","Ascent","Ohio","Belmont","1786265812046205","Route 70 → Exit 208 → OH-149 → OH-147 → CR-5 → Lease Road","official_pad_reference","official pad reference","39.982139","-80.914606","OTHER_NUMBERED_HIGHWAY_CANDIDATE","OH-147","directions_clear supplies a generic Route 70 start that remains provisional; the independently named last usable approved numbered-highway anchor is OH-147","directions_clear","Route 70 E → Exit 208 → Route 149 S → Route 147 → Route 147 at Centerville (3.5 miles) → CR-5 (1.4 miles) → Lease Road","true","PIN_ONLY","no_exact_last_interstate_us_or_state_highway","","no","0","0","HELD_TRANSITION","Named road evidence exists, but at least one exact traveled junction or occurrence receipt is unresolved.","Planning candidate only: the generic Route 70 start remains provisional and no reviewed exact-record Google Navigate contract exists on main; runtime remains GPS-only.","Resolve the generic Route 70 start without assuming I-70, select 1-3 exact controls from the independently named last anchor through the written local roads, confirm the final approach by satellite, and prove both practical highway directions before any exact-record contract."
"f896d00c-da26-41b6-bf5b-e9d91afbdbc6","f896d00c-da26-41b6-bf5b-e9d91afbdbc6","ascent--blayney","BLAYNEY","Ascent","Ohio","Belmont","1788117937351112","I-70 → Exit 213 → OH-331 → OR → OH-9 → OH-149 → OH-331","saved_pad_gps","saved pad reference","40.115603","-80.992706","CLEAN_DIRECT_I70_CANDIDATE","OH-331","directions_clear primary order begins with I-70 normalized as I-70; last usable approved numbered-highway anchor is OH-331","directions_clear","I-70 → Exit 213 → OH-331 N (2.5 miles) → Lafferty-Bannock Rd / CR-10 (0.8 mile) → Pad","true","ROUTED_DISPLAY","graph_receipt_ordered_prefix_then_solid_neutral_remainder","OH-331","yes","2","2","HELD_TRANSITION","STALE PR #212 EVIDENCE: revision 1787615581785257 does not bind current revision 1788117937351112; primary-source fields and disposition are historical context only. Named road evidence exists, but at least one exact traveled junction or occurrence receipt is unresolved.","Planning candidate only: no reviewed exact-record Google Navigate contract exists on main, so runtime remains GPS-only.","Treat PR #212 evidence as historical only. Use the separately re-bound PR #215 implementation for the current record and complete its pending expanded Google step-list evidence before review."
"456b4e09-b11c-429b-87e2-1b293bfb319c","456b4e09-b11c-429b-87e2-1b293bfb319c","ascent--blessed","BLESSED","Ascent","Ohio","Belmont","1786265812046205","Route 70 → OH-9 → CR-5 → Garrett Hill Rd → Sutton Rd → Access Road","saved_pad_gps","saved pad reference","40.011526","-80.879811","CLEAN_DIRECT_I70_CANDIDATE","OH-9","directions_clear primary order begins with I-70 normalized as I-70; last usable approved numbered-highway anchor is OH-9","directions_clear","I-70 E → Exit 216 → OH-9 S (1.5 miles) → Glencoe Rd / CR-5 (about 2 miles) → Garrett Hill Rd → Sutton Rd → second Ascent access road","true","ROUTED_DISPLAY","graph_receipt_ordered_prefix_then_solid_neutral_remainder","OH-9","yes","2","0","HELD_TRANSITION","Named road evidence exists, but at least one exact traveled junction or occurrence receipt is unresolved.","Planning candidate only: no reviewed exact-record Google Navigate contract exists on main, so runtime remains GPS-only.","Select 1-3 exact road-occurrence waypoints, confirm the final approach by satellite, prove both I-70 directions in Google step detail, then add one exact-record contract with tests/accounting."
"5056a78d-6965-4cfa-a100-488b80ba5397","5056a78d-6965-4cfa-a100-488b80ba5397","ascent--borovich","BOROVICH","Ascent","Ohio","Belmont","1786258360881449","Southwest On US-22 West/cadiz-steubenville Rd → US-22 → Industrial Park Rd → OH-9 / South/cadiz-new Athens Rd → OH-149 → OH-331 → US-40 → I-70 → Exit 216 → OR → OH-1 → OH-800 / Gehrig Rd → OH-145 → Main St → Becomes North Ave → Becomes Oh-145/belmont Ave → OH-148 → OH-9 → OH-149","saved_pad_gps","saved pad reference","40.0112","-80.892363","ALIAS_OR_SOURCE_ORDER_AMBIGUITY","OH-149","directions_clear last anchor OH-149 conflicts with historical-overlay last anchor I-70","directions_clear","US-22 W / Cadiz-Steubenville Rd (1.9 miles) → Industrial Park Rd (2.4 miles) → OH-9 S / Cadiz-New Athens Rd / St. Clair Ave (5 miles) → OH-149 S (3.1 miles) → OH-331 S (7.5 miles) → US-40 E (2 miles) → I-70 E (1.5 miles) → Exit 216 (0.2 mile) → OH-9 S (4 miles) → OH-149 S (3 miles)","true","PIN_ONLY","candidate_start_lacks_exact_master_last_highway_road_id_anchor","I-70","no","0","0","HELD_TRANSITION","Named road evidence exists, but at least one exact traveled junction or occurrence receipt is unresolved.","Fail closed: directions_clear last anchor OH-149 conflicts with historical-overlay last anchor I-70. Runtime remains GPS-only.","Resolve the primary-source alias/order against the exact intended road occurrence without promoting renderer or overlay labels; only then perform waypoint, satellite, and two-direction QA."
"05c3de57-2e9b-4a24-9c5b-59584fbec133","05c3de57-2e9b-4a24-9c5b-59584fbec133","ascent--breeze","BREEZE","Ascent","Ohio","Belmont","1786258360881449","I-70 → Exit 216 → OH-149 → Airport Rd → Lease Road","saved_pad_gps","saved pad reference","40.035226","-80.97599","CLEAN_DIRECT_I70_CANDIDATE","OH-149","directions_clear primary order begins with I-70 normalized as I-70; last usable approved numbered-highway anchor is OH-149","directions_clear","I-70 → Exit 216 → OH-9 S (4.2 miles) → OH-149 (2.4 miles) → Airport Rd / CR-82 → Lease Road","true","ROUTED_DISPLAY","graph_receipt_ordered_prefix_then_solid_neutral_remainder","OH-149","yes","1","0","HELD_TRANSITION","Named road evidence exists, but at least one exact traveled junction or occurrence receipt is unresolved.","Planning candidate only: no reviewed exact-record Google Navigate contract exists on main, so runtime remains GPS-only.","Select 1-3 exact road-occurrence waypoints, confirm the final approach by satellite, prove both I-70 directions in Google step detail, then add one exact-record contract with tests/accounting."
