order,pad_name,pad_id,canonical_id,legacy_id,record_revision,company,state,county,structured_road_sequence,destination_source,destination_latitude,destination_longitude,proposal_status,control_1,control_1_evidence,control_2,control_2_evidence,control_3,control_3_evidence,phone_origin_url,west_origin,west_proof_url,west_google_qa,east_origin,east_proof_url,east_google_qa,satellite_qa,alias_or_sequence_concern,gate_or_next_check
1,BREEZE,05c3de57-2e9b-4a24-9c5b-59584fbec133,05c3de57-2e9b-4a24-9c5b-59584fbec133,ascent--breeze,1786258360881449,Ascent,Ohio,Belmont,"I-70 → Exit 216 → OH-149 → Airport Rd → Lease Road",saved_pad_gps,40.035226,-80.97599,PROPOSED_FOR_QA,"40.034953,-80.975587","Interior of ordered-exact Airport Rd / CR-82 occurrence; identity 3ee77e54-93f7-adfb-2908-ca61e4772275; road a46d8a5f-f820-405d-9ac9-a1a7fefe4d3d",,, , ,"https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=40.035226%2C-80.97599&waypoints=40.034953%2C-80.975587","I-70 Exit 208, Ohio","https://www.google.com/maps/dir/I-70+Exit+208,+Ohio/40.034953,-80.975587/40.035226,-80.97599",PENDING,"40.072,-80.860","https://www.google.com/maps/dir/40.072,-80.860/40.034953,-80.975587/40.035226,-80.97599",PENDING,PENDING,"Exact directory sequence omits OH-9; current directions_clear says Exit 216 → OH-9 S → OH-149 → Airport Rd. The contract must bind the exact directory string and describe OH-9 only as written-direction evidence.","Google step lists must show Exit 216 → OH-9 S → OH-149 → Airport Rd from both origins; satellite must confirm the short left-side lease approach to the saved pin."
2,RICHLAND B,73f48788-9990-435a-adee-999740e958de,73f48788-9990-435a-adee-999740e958de,ascent--richland-b,1786258360881449,Ascent,Ohio,Belmont,"I-70 → Exit 213 → OH-331 → US-40 → Lloydsville Bannock Rd → Lude Rd → OR → OH-149 → US-40 → Lloydsville Bannock Rd → Lude Rd → OR → I-70 → Exit 208 → OH-149 → US-40 → Lloydsville Bannock Rd → Lude Rd",saved_pad_gps,40.077481,-80.995772,PROPOSED_FOR_QA,"40.075237,-80.990567","Interior of ordered-exact Lloydsville-Bannock Rd / CR-80 occurrence; graph display POGUE RD; identity 69fbe91a-3e5a-e0ba-b39d-fa18db5c4022; road dc8ecf1f-a026-4607-878b-42ee0dfda5ed","40.076936,-80.994184","Interior of ordered-exact Lude Rd / TR-264 occurrence; identity 165fa33f-24a3-cace-06a9-7cb66396be76; road 9950715b-d6b1-4093-bef5-04c66c1d8763",, ,"https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=40.077481%2C-80.995772&waypoints=40.075237%2C-80.990567%7C40.076936%2C-80.994184","I-70 Exit 208, Ohio","https://www.google.com/maps/dir/I-70+Exit+208,+Ohio/40.075237,-80.990567/40.076936,-80.994184/40.077481,-80.995772",PENDING,"40.072,-80.860","https://www.google.com/maps/dir/40.072,-80.860/40.075237,-80.990567/40.076936,-80.994184/40.077481,-80.995772",PENDING,PENDING,"POGUE RD is graph/renderer context for the exact source-bound Lloydsville-Bannock / CR-80 identity, not a replacement directory identity. The exact directory string contains three OR alternatives.","Google must reach CR-80 from the appropriate US-40 direction, then preserve CR-80 → Lude without pass-and-return; satellite must confirm the final saved-pin handoff."
3,THREE DADS,d70f5f1d-7f44-4a5e-9b05-06264f56470d,d70f5f1d-7f44-4a5e-9b05-06264f56470d,ascent--three-dads,1786265812046205,Ascent,Ohio,Belmont,"OH-7 → Route 70 → Exit 218 → Mall Rd → US-40 → Barton Rd → Pad",saved_pad_gps,40.099252,-80.855031,PROPOSED_FOR_QA,"40.087743,-80.886921","Interior of ordered-exact Barton Rd / CR-4 occurrence; identity 821920f3-9b6b-6793-fadf-d5175be50542; road 348bc14e-b613-4c72-90e0-cb3290ef186e",,, , ,"https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=40.099252%2C-80.855031&waypoints=40.087743%2C-80.886921","I-70 Exit 208, Ohio","https://www.google.com/maps/dir/I-70+Exit+208,+Ohio/40.087743,-80.886921/40.099252,-80.855031",PENDING,"Bridgeport, Ohio","https://www.google.com/maps/dir/Bridgeport,+Ohio/40.087743,-80.886921/40.099252,-80.855031",PENDING,PENDING,"Directory uses Route 70 and US-40; cleaned written source resolves Route 70 as I-70 W. Mall Rd has no exact control in the available source.","Both Google step lists must show I-70 Exit 218 → Mall Rd → US-40 W → Barton Rd, with no alternate Barton entry or backtrack; satellite must confirm the pad entrance on the right at the saved pin."
4,LAVADA,883420b3-07b9-4682-912e-42ba278d1132,883420b3-07b9-4682-912e-42ba278d1132,ascent--lavada,1786265812046205,Ascent,Ohio,Guernsey,"I-70 → Exit 186 → OH-285 → OH-265 → Salem Rd → Lease Road",saved_pad_gps,39.97411,-81.412098,PROPOSED_FOR_QA,"39.981189,-81.414833","Interior of ordered-exact Salem Rd / CR-74 occurrence; identity 7b11e07a-d28a-61be-858e-eff065ce45c9; road bdae3fc7-0497-4994-a048-5b9e6db12140",,, , ,"https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=39.97411%2C-81.412098&waypoints=39.981189%2C-81.414833","Cambridge, Ohio","https://www.google.com/maps/dir/Cambridge,+Ohio/39.981189,-81.414833/39.97411,-81.412098",PENDING,"Barnesville, Ohio","https://www.google.com/maps/dir/Barnesville,+Ohio/39.981189,-81.414833/39.97411,-81.412098",PENDING,PENDING,"OH-265 may render as Leatherwood Rd; that is state-route renderer context, not a new road identity.","Both Google step lists must show I-70 Exit 186 → OH-285 S → OH-265 E/Leatherwood → Salem Rd without an earlier Leatherwood shortcut; satellite must confirm the right-side lease approach."
5,HENDERSON,036d0ac7-d72e-49e4-a400-ee0a631029e1,036d0ac7-d72e-49e4-a400-ee0a631029e1,ascent--henderson,1786265812046205,Ascent,Ohio,Belmont,"Exit 208 → I-70 → OH-149 → OH-147 → OH-9 → Henderson Rd → Lease Road",saved_pad_gps,40.050354,-80.935656,NOT_PROPOSED,,, , , , ,,"I-70 west-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,"I-70 east-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,PENDING,"Directions_clear requires the OH-9 northbound occurrence and explicitly says DO NOT approach south on OH-9 because the Henderson turn is too sharp for a commercial vehicle. Batch-2 proves Reservoir Rd / TR-722 locally but supplies no exact interior OH-9 control south of the turn.","Missing exact interior waypoint on the intended northbound OH-9 occurrence. A TR-722-only URL is unsafe because it cannot exclude the prohibited southbound approach."
6,BEDWAY,98eec273-b8aa-49b6-b791-2d53b5f256c6,98eec273-b8aa-49b6-b791-2d53b5f256c6,ascent--bedway,1786258360881449,Ascent,Ohio,Belmont,"I-70 → Exit 208 → OH-149 → US-40 → Pancoast Rd",verified_driver_entrance,40.072874,-81.021494,NOT_PROPOSED,,, , , , ,,"I-70 west-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,"I-70 east-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,PENDING,"The written road is Pancoast Rd / TR-263, but the retained batch-2 route turns from US-40 onto NATIONAL-OCO RD / CR-78. Earlier live Google review also rejected BEDWAY because Google did not use the official Pancoast occurrence.","Missing route/control on the intended Pancoast/TR-263 occurrence. Do not reinterpret National-Oco as a Pancoast alias."
7,WAMPUM,8e823835-2c10-4275-84e9-4067376fa364,8e823835-2c10-4275-84e9-4067376fa364,ascent--wampum,1786258360881449,Ascent,Ohio,Guernsey,"I-70 → OH-285 → OH-313 → Salem Rd → Nighthawk Rd → Keep Right Onto Divison Rd → Lease Road",saved_pad_gps,39.962923,-81.440117,PROPOSED_FOR_QA,"39.941409,-81.446907","Interior of ordered-exact Salem Rd / CR-74 occurrence; identity 7b11e07a-d28a-61be-858e-eff065ce45c9; road bdae3fc7-0497-4994-a048-5b9e6db12140","39.953452,-81.440293","Interior of first exact DIVISION RD occurrence, source-bound to written Nighthawk Rd; identity 7403af56-9924-9f44-0a95-9e56a197b90d; road 3cffea08-d00d-4aac-862d-658b78cf6d72","39.961901,-81.441644","Interior of the second exact DIVISION RD occurrence after the retained right turn; same exact identity and road","https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=39.962923%2C-81.440117&waypoints=39.941409%2C-81.446907%7C39.953452%2C-81.440293%7C39.961901%2C-81.441644","Cambridge, Ohio","https://www.google.com/maps/dir/Cambridge,+Ohio/39.941409,-81.446907/39.953452,-81.440293/39.961901,-81.441644/39.962923,-81.440117",PENDING,"Barnesville, Ohio","https://www.google.com/maps/dir/Barnesville,+Ohio/39.941409,-81.446907/39.953452,-81.440293/39.961901,-81.441644/39.962923,-81.440117",PENDING,PENDING,"The source spells Divison and distinguishes Nighthawk then a keep-right Divison leg. Current exact graph evidence renders both physical occurrences as DIVISION RD under one identity. This is alias/continuation context only and must not rewrite the exact directory string.","Google must show OH-313 → Salem → the Nighthawk/Division-rendered occurrence → keep right onto the second Division occurrence, in order and without shortcut. Satellite must confirm the final right-side lease approach."
8,SLABAUGH,eae4741b-7fb4-4bc3-8b20-26043032acda,eae4741b-7fb4-4bc3-8b20-26043032acda,ascent--slabaugh,1786265512886177,Ascent,Ohio,Guernsey,"I-70 → OH-285 → OH-313 → Salem Rd → Nighthawk Rd → Lease Road",saved_pad_gps,39.95541,-81.4408,PROPOSED_FOR_QA,"39.941409,-81.446907","Interior of ordered-exact Salem Rd / CR-74 occurrence; identity 7b11e07a-d28a-61be-858e-eff065ce45c9; road bdae3fc7-0497-4994-a048-5b9e6db12140","39.952222,-81.440069","Interior of ordered-exact source-bound Nighthawk occurrence; graph display DIVISION RD; identity 7403af56-9924-9f44-0a95-9e56a197b90d; road 3cffea08-d00d-4aac-862d-658b78cf6d72",, ,"https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=39.95541%2C-81.4408&waypoints=39.941409%2C-81.446907%7C39.952222%2C-81.440069","Cambridge, Ohio","https://www.google.com/maps/dir/Cambridge,+Ohio/39.941409,-81.446907/39.952222,-81.440069/39.95541,-81.4408",PENDING,"Barnesville, Ohio","https://www.google.com/maps/dir/Barnesville,+Ohio/39.941409,-81.446907/39.952222,-81.440069/39.95541,-81.4408",PENDING,PENDING,"The exact source-bound Nighthawk occurrence is rendered/displayed by current graph evidence as DIVISION RD. Treat Division as alias context only; do not replace Nighthawk in the exact record contract.","Both Google step lists must preserve OH-313 → Salem → Nighthawk/Division-rendered road without shortcut; satellite must confirm the left-side lease approach at the saved pin."
9,TARPLEY,25dc64b5-4a52-4cef-8b2c-62e7e36d64c7,25dc64b5-4a52-4cef-8b2c-62e7e36d64c7,ascent--tarpley,1786265812046205,Ascent,Ohio,Guernsey,"Route 70 → OH-513 → Bridgewater Rd → Lease Road",saved_pad_gps,40.063839,-81.293734,NOT_PROPOSED,,, , , , ,,"I-70 west-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,"I-70 east-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,PENDING,"Current directions_clear adds 94 N / Pisgah Rd for about 0.5 mile, but the exact directory sequence omits it. The retained route uses only a short Pisgah segment, then Wells Rd and Morris Ln, ending about 183 m from the saved pin.","Missing exact intended Pisgah occurrence through the written lease-road turn. Do not promote the retained Wells/Morris detour as the written approach."
10,RECTOR-C,0a2a4a64-6e64-4b7d-9652-e1a97db4fc4f,0a2a4a64-6e64-4b7d-9652-e1a97db4fc4f,ascent--rector-c,1786265812046205,Ascent,Ohio,Guernsey,"OH-285 → OH-313E → Salem Rd → New Gottengen Rd → Meadowlark Rd → Lease Road",saved_pad_gps,39.955552,-81.395087,NOT_PROPOSED,,, , , , ,,"I-70 west-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,"I-70 east-side origin",NOT_PROPOSED,BLOCKED_NO_SAFE_URL,PENDING,"Earlier live Google QA rejected the candidate because it used Leatherwood before Salem. The retained batch-2 route also jumps from an OH-313-labelled section to Meadowlark and does not preserve Salem → New Gottengen → Meadowlark. Four post-I-70 occurrences compete for the three-control mobile budget.","No supported three-control set prevents the Leatherwood shortcut while preserving Salem → New Gottengen → Meadowlark. Keep GPS-only."
