pad_id,legacy_id,pad_name,county,township,record_revision,latitude,longitude,coordinate_role,direction_source,source_sha256,cleaned_road_order,older_sequence_conflict,road_occurrence_count,resolved_identity_count,held_identity_count,resolved_transition_count,held_transition_count,resolved_geometry_count,held_geometry_count,current_navigation_state,existing_reviewed_google_url,google_qa_status,final_disposition,exact_disposition_reason,prepared_repository_work
f52bdf46-6b4a-4901-8f66-175bb7220ad8,ascent--alderman,ALDERMAN,,,1786246617744175,,,,directions_clear,298d60d0e7adada6dfd41ebb93f23ab485d14f480afcae15949a2d8c98f31cc1,I-70 → Exit 216 → OH-9 S (4.2 miles) → OH-149 (2.4 miles) → Airport Rd / CR-82 (2.4 miles) → Lease Road,true,6,0,4,0,3,0,4,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
7adbf888-6f25-4f8f-b306-649fcc9387f5,ascent--durr,DURR,,,1786314389553451,,,,written_directions,1602c8b7860031429570eca967f16f6cd0d464e957dae6ee18f24c1c10a50094,,,0,0,0,0,0,0,0,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
878e60fe-cdfc-4bbb-a4e4-93b588bd2059,ascent--gatti,GATTI,,,1786246617744175,,,,directions_clear,669c23629c7d6bf010657c811db5fdfc6b8b1612b138034dcb393d7845d29604,OH-147 E / Barnesville Bethesda Rd / E Main St (6.3 miles) → OH-147 E / Maple Ave (1.5 miles) → OH-149 N → Palmer Rd (1.2 miles) → Entrance,true,5,0,4,0,3,0,4,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
a77e7898-9f9b-4fd8-82bb-da9ce26abd08,ascent--kantor,KANTOR,,,1786165584958501,,,,directions_clear,4b9f862bdb5cf15aea8fd186fecd69b01c18f21b21c845d0179ef280f12446a9,US-22 E (12.3 miles) → OH-151 W exit (0.1 mile) → Gable Rd (0.2 mile) → Old Hopedale Rd (1.2 miles) → Rabbit Rd (0.5 mile) → OH-151 E (7.9 miles) → OH-152 S / Main St (3.5 miles),true,7,0,6,0,5,0,6,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
31d0f9bb-09be-4253-bc6b-778e3e19a879,ascent--roliff,ROLIFF,,,1786246617744175,,,,directions_clear,3cacf4b9a50f2b1925568ad76fdbfb936c9b638cbaae873dd0dc6568a059df89,E Main St E (0.2 mile) → OH-800 N / Cemetery Hill Rd (1.4 miles) → OH-799 (2.8 miles) → Kennedy Ridge Rd (4.2 miles) → Kennedy Ridge Rd (0.2 mile) → Old Piedmont Rd (0.2 mile) → Access Road,true,7,0,6,0,5,0,6,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
e537c3cb-ac98-4a26-91b9-4d3bcfa1e525,ascent--weidinger-w,WEIDINGER W,,,1786165584958501,,,,directions_clear,0cf858a39ce318449599936e76c70507393155ff32e4e46a21852f95ef246bf1,CR-11 / Piney Fork Rd W → TR-138,true,2,0,2,0,1,0,2,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
72b25dba-6279-41b6-b9fd-8ead758d0294,ascent--wiley,WILEY,,,1786246617744175,,,,directions_clear,ec7642686072585e53e7e8be173d33abbfaeb4245b66b4024a8b4b02f6a659bf,WV-2 S (1.7 miles) → WV-180 S (7.3 miles) → WV-18 S (11.1 miles) → Indian Creek Rd / CR-13 (9.0 miles) → Stackpole Run / CR-13/3 (0.7 mile) → Left Hand Fork / CR-13/8 (1.0 mile) → Entrance,true,7,0,6,0,5,0,6,UNAVAILABLE,,not_possible_without_destination,HELD_DESTINATION,"Current production county, township, latitude, and longitude are null; no jurisdiction, route occurrence, entrance, or Google destination may be inferred.",
48d810bf-e59f-4314-9efb-8103a818a3bd,ascent--albatross,ALBATROSS,Belmont,KIRKWOOD,1786265812046205,40.079353,'-81.224381,saved pad reference,directions_clear,3e470334984b0b40554e3721d2c6f179418a4fbe82ac5224d61e9fe5e596f5fb,I-70 → Exit 202 → Route 800 N (4.6 miles) → Brooks Rd (0.9 mile) → Gate,true,5,1,2,0,2,0,3,DONE,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=40.079353%2C-81.224381&waypoints=40.0817058%2C-81.2127365,existing_reviewed_contract_preserved,REVIEWED_HANDOFF_READY,Existing reviewed named/public-road handoff remains byte-stable; any terminal GPS/private remainder stays explicitly neutral or held.,
12da2a9f-c9ae-467f-abf5-723c31daecfe,ascent--albert,ALBERT,Belmont,KIRKWOOD,1786405417119866,40.04569,'-81.21533,saved pad reference,directions_clear,ee0d2d6182983c845eb0d4efb617026484f5210e696ac5d3190ecf6f9c8becad,I-70 → Exit 198 → OH-114 → Lease Road,false,4,0,2,0,1,0,2,GPS_ONLY,,not_ready,HELD_IDENTITY,The earliest unresolved cleaned-source blocker is an exact authoritative identity/Road Manager mapping gap.,
fda8a55c-605d-4fb7-903a-4ec4580e76cd,ascent--albright,ALBRIGHT,Belmont,MEAD,1786258360881449,39.955006,'-80.8312,saved pad reference,directions_clear,289a671556f9f7ab9f1e99ef7ef07f9573e2591e36d0228f7c4b130e01500a7c,Route 147 E → Wegee Rd (about 1 mile) → Cash Ridge Rd (1.9 miles) → Lease Road,true,4,1,2,0,2,0,3,GPS_ONLY,,not_ready,HELD_IDENTITY,The earliest unresolved cleaned-source blocker is an exact authoritative identity/Road Manager mapping gap.,
