record_id,legacy_id,name,company,state,county,structured_road_sequence,current_state,driver_rule_status,gps_source,destination_latitude,destination_longitude,directory_gps_source,directory_coordinate_role,directory_latitude,directory_longitude,record_revision,navigation_label,origin,blocker,receipt
48d810bf-e59f-4314-9efb-8103a818a3bd,ascent--albatross,ALBATROSS,Ascent,Ohio,Belmont,I-70 → Exit 202 → OH-800 → Brooks Rd,reviewed_handoff_authority_held,DONE,saved,40.079353,-81.224381,saved,saved pad reference,40.079353,-81.224381,1786265812046205,Named roads to saved pin,phone current location,,ALBATROSS exact-record Brooks Road reviewed local approach; final saved-GPS handoff unapproved
12da2a9f-c9ae-467f-abf5-723c31daecfe,ascent--albert,ALBERT,Ascent,Ohio,Belmont,I-70 → Exit 198 → OH-114 → Lease Road,3,GPS_ONLY,saved,40.04569,-81.21533,saved,saved pad reference,40.04569,-81.21533,1786405417119866,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
fda8a55c-605d-4fb7-903a-4ec4580e76cd,ascent--albright,ALBRIGHT,Ascent,Ohio,Belmont,Cash Ridge Rd → Lease Road,3,GPS_ONLY,saved,39.955006,-80.8312,saved,saved pad reference,39.955006,-80.8312,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
c2923e5d-882b-44fe-be0c-6f3332cbb54b,ascent--anchor,ANCHOR,Ascent,Ohio,Belmont,Route 22 → OH-331 → Resivor Rd → Pad,3,GPS_ONLY,ODNR pad,40.158007,-81.093945,ODNR pad,official pad reference,40.158007,-81.093945,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
63a3497d-70e9-47a0-8500-00e094a5b871,ascent--antelok,ANTELOK,Ascent,Ohio,Belmont,I-70 → OH-9 → CR-5 → McFetridge / Dunham Rd → Access Road,3,GPS_ONLY,saved,40.043212,-80.900901,saved,saved pad reference,40.043212,-80.900901,1787459253071652,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
fa2d692c-4f3a-4a28-8985-3809c9dbd15d,ascent--axle,AXLE,Ascent,Ohio,Belmont,I-70 → OH-800 → OH-147 → Access Road → Lease Road,3,GPS_ONLY,saved,39.984049,-81.195962,saved,saved pad reference,39.984049,-81.195962,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
d7898e8c-1bb6-48f8-b5e0-87bc1898420e,ascent--bakos,BAKOS,Ascent,Ohio,Belmont,US-250 → Right/west Onto Holly View Dr → OR → Holly View Dr → Pad → OR → US-250 → Left/west Onto Holy View Dr → No St Sign And Rd,reviewed_handoff_authority_held,DONE,saved,40.151125,-80.852968,saved,saved pad reference,40.151125,-80.852968,1787615581785257,Named roads to saved pin,phone current location,,BAKOS exact-record US-250 and Holly View Drive reviewed handoff
333598ca-37b3-4b44-9411-a490cc3da672,ascent--bannock,BANNOCK,Ascent,Ohio,Belmont,I-70 → Exit 213 → OH-331 → Lafferty-bannock Rd → Lease Road → OR → OH-9 → OH-149 → OH-331 → Lafferty-bannock Rd,reviewed_handoff_authority_held,DONE,saved,40.111003,-81.002932,saved,verified driver entrance,40.111003,-81.002932,1786744183028038,Named roads to saved pin,phone current location,,BANNOCK exact-record OH-331 and Lafferty-Bannock Road reviewed entrance handoff
98eec273-b8aa-49b6-b791-2d53b5f256c6,ascent--bedway,BEDWAY,Ascent,Ohio,Belmont,I-70 → Exit 208 → OH-149 → US-40 → Pancoast Rd,3,GPS_ONLY,saved,40.072874,-81.021494,saved,verified driver entrance,40.072874,-81.021494,1786258360881449,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
c2c9664b-f853-4ecf-8107-7b5630e69bcf,ascent--bennington,BENNINGTON,Ascent,Ohio,Belmont,Route 70 → Exit 208 → OH-149 → OH-147 → CR-5 → Lease Road,3,GPS_ONLY,ODNR pad,39.982139,-80.914606,ODNR pad,official pad reference,39.982139,-80.914606,1786265812046205,GPS destination only,phone current location,No reviewed named-road sequence; use the trusted GPS destination only.,trusted GPS fallback
