record_id,pad_name,company,state,original_step,standardized_display,review_reason
antero--bettinger,BETTINGER,Antero,Ohio,OH-564 / Frostyville Rd,OH-564 / Frostyville Rd,slash/alias road name needs source verification
antero--bishop,BISHOP,Antero,Ohio,CR-44 / Swazey Rd,CR-44 / Swazey Rd,slash/alias road name needs source verification
ascent--antelok,ANTELOK,Ascent,Ohio,Mcfetridge/dunham Rd,Denham Rd,known correction from matching stored address/public-road spelling
ascent--bakos,BAKOS,Ascent,Ohio,Right/west Onto Holly View Dr,Right/West Onto Holly View Dr,slash/alias road name needs source verification
ascent--bakos,BAKOS,Ascent,Ohio,Left/west Onto Holy View Dr,Left/West Onto Holy View Dr,slash/alias road name needs source verification
ascent--borovich,BOROVICH,Ascent,Ohio,Southwest On US-22 West/cadiz-steubenville Rd,Southwest On US-22 West/Cadiz-steubenville Rd,slash/alias road name needs source verification
ascent--borovich,BOROVICH,Ascent,Ohio,OH-9 / South/cadiz-new Athens Rd,OH-9 / South/Cadiz-new Athens Rd,slash/alias road name needs source verification
ascent--borovich,BOROVICH,Ascent,Ohio,OH-800 / Gehrig Rd,OH-800 / Gehrig Rd,slash/alias road name needs source verification
ascent--borovich,BOROVICH,Ascent,Ohio,Becomes Oh-145/belmont Ave,Becomes Oh-145/Belmont Ave,slash/alias road name needs source verification
ascent--cermak,CERMAK,Ascent,Ohio,OH-151 / Mill St,OH-151 / Mill St,slash/alias road name needs source verification
ascent--cermak,CERMAK,Ascent,Ohio,OH-152 / South/main St,OH-152 / South/Main St,slash/alias road name needs source verification
ascent--cesario,CESARIO,Ascent,Ohio,CR-13 / County Rd,CR-13 / County Rd,slash/alias road name needs source verification
ascent--charley,CHARLEY,Ascent,Ohio,Airport/ Dickerson Church Rd,Airport/ Dickerson Church Rd,slash/alias road name needs source verification
ascent--club,CLUB,Ascent,Ohio,Left/east Onto County Rd,Left/East Onto County Rd,slash/alias road name needs source verification
ascent--club,CLUB,Ascent,Ohio,CR-12 / Unionvale Road/harrison County Rd,CR-12 / Unionvale Road/Harrison County Rd,slash/alias road name needs source verification
ascent--club,CLUB,Ascent,Ohio,Right/south Onto Township Hwy,Right/South Onto Township Hwy,slash/alias road name needs source verification
ascent--club,CLUB,Ascent,Ohio,Right/south Onto County Rd,Right/South Onto County Rd,slash/alias road name needs source verification
ascent--club,CLUB,Ascent,Ohio,Left/east Onto Township Rd,Left/East Onto Township Rd,slash/alias road name needs source verification
ascent--coad,COAD,Ascent,Ohio,OH-513 / North/batesville Road./pike St,OH-513 / North/Batesville Road./Pike St,slash/alias road name needs source verification
ascent--cobra,COBRA,Ascent,Ohio,US-22 / Dennison Ave,US-22 / Dennison Ave,slash/alias road name needs source verification
ascent--coffield,COFFIELD,Ascent,Ohio,Glencoe Road/glencoe-street Clairsville Rd,Glencoe Road/Glencoe-street Clairsville Rd,slash/alias road name needs source verification
ascent--cologie,COLOGIE,Ascent,Ohio,Lamborn,Lamborn,local name lacks a recognized road-type suffix
ascent--cooper,COOPER,Ascent,Ohio,Titus,Titus,local name lacks a recognized road-type suffix
ascent--cooper,COOPER,Ascent,Ohio,Sligo,Sligo,local name lacks a recognized road-type suffix
ascent--dickson,DICKSON,Ascent,Ohio,Bloomingdale- Smithfield- Chandl/high St,Bloomingdale- Smithfield- Chandl/High St,slash/alias road name needs source verification
ascent--durr,DURR,Ascent,Ohio,OH-9 / South/street Clair Ave,OH-9 / South/Street Clair Ave,slash/alias road name needs source verification
ascent--durr,DURR,Ascent,Ohio,OH-9 / North/south Marietta St,OH-9 / North/South Marietta St,slash/alias road name needs source verification
ascent--durr,DURR,Ascent,Ohio,OH-149 / North/oh-331 South/east High St,OH-149 / North/Oh-331 South/East High St,slash/alias road name needs source verification
ascent--edington,EDINGTON,Ascent,Ohio,Chaney,Chaney,local name lacks a recognized road-type suffix
ascent--faldowski,FALDOWSKI,Ascent,Ohio,CR-13 / County Rd,CR-13 / County Rd,slash/alias road name needs source verification
ascent--ferguson,FERGUSON,Ascent,Ohio,US-22 / East/cadiz-steubenville Rd,US-22 / East/Cadiz-steubenville Rd,slash/alias road name needs source verification
ascent--ferguson,FERGUSON,Ascent,Ohio,OH-151 / Mill St,OH-151 / Mill St,slash/alias road name needs source verification
ascent--ferguson,FERGUSON,Ascent,Ohio,OH-152 / South/main St,OH-152 / South/Main St,slash/alias road name needs source verification
ascent--ferguson,FERGUSON,Ascent,Ohio,OH-519 / East/stumptown Rd,OH-519 / East/Stumptown Rd,slash/alias road name needs source verification
